hidden_size_1,hidden_size_2,init_lr,l2_reg,val_loss,val_accuracy,test_loss,test_accuracy
512,128,0.001,1e-05,12002.916401458928,0.7446666666666667,40880.07937773217,0.7379
512,128,0.0005,0.01,13185.648934903687,0.7203333333333334,44037.92722997572,0.7186
512,128,0.0005,0.001,12993.187039491924,0.7266666666666667,43641.32337845859,0.7227
512,128,0.0005,0.0001,12877.848762069452,0.727,42650.85801334219,0.7284
512,128,0.0005,1e-05,13169.903651545825,0.721,43782.91985600976,0.7227
512,128,0.0001,0.01,17629.139133859386,0.6306666666666667,57586.843224541095,0.6372
512,128,0.0001,0.001,18518.98925614832,0.6133333333333333,61678.210478246976,0.6124
512,128,0.0001,0.0001,17291.377174489255,0.6386666666666667,59184.051575775324,0.6275
512,128,0.0001,1e-05,19153.015859634193,0.5983333333333334,63274.39339787453,0.6025
1024,32,0.01,0.01,9296.677662305616,0.146,30940.63169373596,0.1418
1024,32,0.01,0.001,6488.777675717917,0.22666666666666666,21514.344925235975,0.2286
1024,32,0.01,0.0001,8490.923331300426,0.14066666666666666,28601.04137220761,0.1459
1024,32,0.01,1e-05,6364.892357761872,0.21833333333333332,21026.612223282293,0.2217
1024,32,0.005,0.01,7300.090037079775,0.17433333333333334,24166.212056831413,0.1621
1024,32,0.005,0.001,6384.827405290935,0.23333333333333334,21112.176976608873,0.2347
1024,32,0.005,0.0001,12601.387944091373,0.16933333333333334,40679.31415549269,0.1755
1024,32,0.005,1e-05,11179.169222681105,0.30966666666666665,38230.20410123647,0.3132
1024,32,0.001,0.01,17498.36221999275,0.614,60196.70038809577,0.5991
1024,32,0.001,0.001,17538.756947894544,0.483,60044.38509499394,0.4736
1024,32,0.001,0.0001,19168.3652848308,0.5786666666666667,65081.72291236848,0.5686
1024,32,0.001,1e-05,17417.5860368783,0.584,58460.35106190597,0.5821
1024,32,0.0005,0.01,22560.911579214004,0.491,74374.6444570838,0.4978
1024,32,0.0005,0.001,21046.380054661204,0.507,68522.14857618087,0.5168
1024,32,0.0005,0.0001,17388.85404445874,0.3273333333333333,58089.966292936515,0.3277
1024,32,0.0005,1e-05,21965.175275822017,0.47833333333333333,73320.92445252411,0.4753
1024,32,0.0001,0.01,21255.473994220447,0.5456666666666666,70460.23246917034,0.5468
1024,32,0.0001,0.001,22439.367110394378,0.523,72383.8771461704,0.536
1024,32,0.0001,0.0001,19890.186527735823,0.5736666666666667,68362.99943244313,0.5596
1024,32,0.0001,1e-05,24422.096992030634,0.38666666666666666,80750.56219459401,0.3965
1024,64,0.01,0.01,5952.078379653402,0.31033333333333335,19365.511971106902,0.3201
1024,64,0.01,0.001,6992.5060303402015,0.217,23389.35992336099,0.2138
1024,64,0.01,0.0001,5777.8250264532235,0.37033333333333335,19105.486977654105,0.3704
1024,64,0.01,1e-05,10495.246040317263,0.2823333333333333,35270.11883294991,0.2854
1024,64,0.005,0.01,14256.022288158329,0.44866666666666666,47258.98902256227,0.4487
1024,64,0.005,0.001,12975.839799459456,0.366,43783.682978008794,0.3688
1024,64,0.005,0.0001,13463.849921777015,0.368,44546.3253676417,0.3789
1024,64,0.005,1e-05,14208.59023037749,0.525,45261.62408593369,0.5437
1024,64,0.001,0.01,14086.44820425176,0.6853333333333333,47745.85200140538,0.6822
1024,64,0.001,0.001,12564.294004121077,0.7206666666666667,41990.49131602161,0.7198
1024,64,0.001,0.0001,14656.516087479842,0.6683333333333333,49940.55366983395,0.6635
1024,64,0.001,1e-05,13567.067969775228,0.702,44040.176359715704,0.7063
1024,64,0.0005,0.01,15135.295366864164,0.6766666666666666,48675.663733572794,0.6817
1024,64,0.0005,0.001,16998.114373237233,0.6313333333333333,57520.36835410021,0.6229
1024,64,0.0005,0.0001,13468.646542160477,0.7136666666666667,46698.0108452634,0.7013
1024,64,0.0005,1e-05,15518.04270351451,0.6643333333333333,49615.447152853485,0.6761
1024,64,0.0001,0.01,18461.69953224408,0.6093333333333333,59885.03492596903,0.6217
1024,64,0.0001,0.001,17841.15049167021,0.625,61619.72703220517,0.6098
1024,64,0.0001,0.0001,18158.178789280748,0.6156666666666667,61203.20611324992,0.615
1024,64,0.0001,1e-05,19689.988259841608,0.587,66451.90200802567,0.5809
1024,128,0.01,0.01,5467.803532577529,0.4106666666666667,17610.847986409397,0.4347
1024,128,0.01,0.001,10371.16999501285,0.35433333333333333,34097.17976459249,0.3725
1024,128,0.01,0.0001,5503.63984696447,0.403,18550.86823977755,0.4159
1024,128,0.01,1e-05,10652.384170039699,0.44266666666666665,35100.33064729039,0.4386
1024,128,0.005,0.01,17070.30727688645,0.6036666666666667,56273.41236334586,0.6016
1024,128,0.005,0.001,12751.205536385918,0.44,42082.90909445909,0.4643
1024,128,0.005,0.0001,10972.848400012848,0.577,36877.73989678845,0.5763
1024,128,0.005,1e-05,11021.300800172829,0.6146666666666667,36399.98564248256,0.6111
1024,128,0.001,0.01,11619.564711652045,0.756,38362.78029730429,0.7555
1024,128,0.001,0.001,12402.18903264137,0.7343333333333333,40480.63550561629,0.7373
1024,128,0.001,0.0001,11991.533282238892,0.7446666666666667,39807.0789860963,0.745
1024,128,0.001,1e-05,12079.609956695236,0.7436666666666667,38908.199011267556,0.7489
1024,128,0.0005,0.01,12154.250801617069,0.7456666666666667,42547.0684344527,0.7312
1024,128,0.0005,0.001,12879.927025899011,0.7293333333333333,41198.05198250736,0.7393
1024,128,0.0005,0.0001,12546.517142673336,0.7356666666666667,42061.47710396942,0.7333
1024,128,0.0005,1e-05,12790.604638399436,0.7316666666666667,41020.891792802315,0.7405
1024,128,0.0001,0.01,17651.92833500261,0.6306666666666667,57224.958959620315,0.6414
1024,128,0.0001,0.001,17259.451844881685,0.6393333333333333,57252.26732344744,0.6413
1024,128,0.0001,0.0001,16454.371992789183,0.6556666666666666,54970.52360129707,0.6556
1024,128,0.0001,1e-05,17464.83401000452,0.6356666666666667,57136.38513361894,0.6429
